2026-01-17 00:52:34,299 | DEBUG | __main__ | HTTP GET: https://quotes.toscrape.com/page/10/
2026-01-17 00:52:34,300 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): quotes.toscrape.com:443
2026-01-17 00:52:35,055 | DEBUG | urllib3.connectionpool | https://quotes.toscrape.com:443 "GET /page/10/ HTTP/1.1" 200 9943
2026-01-17 00:52:35,220 | INFO | __main__ | 10 citações coletadas
2026-01-17 00:52:35,229 | INFO | __main__ | Total de citações coletadas: 100
2026-01-19 10:13:16,628 | INFO | __main__ | Iniciando tarefa: IMDb
2026-01-19 10:13:17,230 | DEBUG | selenium.webdriver.remote.remote_connection | POST http://127.0.0.1:55500/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "platformName": "any", "goog:chromeOptions": {"excludeSwitches": ["enable-logging"], "extensions": [], "args": ["--headless", "--no-sandbox", "--disable-dev-shm-usage", "--log-level=3", "--silent", "--window-size=1920,1080", "user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"]}}}, "desiredCapabilities": {"browserName": "chrome", "version": "", "platform": "ANY", "goog:chromeOptions": {"excludeSwitches": ["enable-logging"], "extensions": [], "args": ["--headless", "--no-sandbox", "--disable-dev-shm-usage", "--log-level=3", "--silent", "--window-size=1920,1080", "user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"]}}}
2026-01-19 10:13:17,231 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:55500
2026-01-19 10:13:18,048 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55500 "POST /session HTTP/1.1" 500 1150
2026-01-19 10:13:18,048 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:14,050 | INFO | __main__ | Iniciando tarefa: IMDb
2026-01-19 10:16:14,658 | DEBUG | selenium.webdriver.remote.remote_connection | POST http://127.0.0.1:55918/session {"capabilities": {"firstMatch": [{}], "alwaysMatch": {"browserName": "chrome", "platformName": "any", "goog:chromeOptions": {"excludeSwitches": ["enable-logging"], "extensions": [], "args": ["--headless", "--no-sandbox", "--disable-dev-shm-usage", "--log-level=3", "--silent", "--window-size=1920,1080", "user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"]}}}, "desiredCapabilities": {"browserName": "chrome", "version": "", "platform": "ANY", "goog:chromeOptions": {"excludeSwitches": ["enable-logging"], "extensions": [], "args": ["--headless", "--no-sandbox", "--disable-dev-shm-usage", "--log-level=3", "--silent", "--window-size=1920,1080", "user-agent=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"]}}}
2026-01-19 10:16:14,658 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:55918
2026-01-19 10:16:15,241 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "POST /session HTTP/1.1" 200 888
2026-01-19 10:16:15,242 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:15,242 | INFO | scrapp_imbd | Iniciando raspagem em: https://www.imdb.com/pt/chart/top/
2026-01-19 10:16:15,242 | DEBUG | selenium.webdriver.remote.remote_connection | POST http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/url {"url": "https://www.imdb.com/pt/chart/top/"}
2026-01-19 10:16:22,378 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "POST /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/url HTTP/1.1" 200 14
2026-01-19 10:16:22,378 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:24,380 | DEBUG | selenium.webdriver.remote.remote_connection | POST http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/elements {"using": "css selector", "value": ".ipc-metadata-list-summary-item"}
2026-01-19 10:16:24,406 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "POST /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/elements HTTP/1.1" 200 29488
2026-01-19 10:16:24,406 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:24,407 | DEBUG | selenium.webdriver.remote.remote_connection | POST http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.77/element {"using": "css selector", "value": ".ipc-title__text", "id": "f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.77"}
2026-01-19 10:16:24,417 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "POST /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.77/element HTTP/1.1" 200 127
2026-01-19 10:16:24,417 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:24,417 | DEBUG | selenium.webdriver.remote.remote_connection | GET http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.327/text {"id": "f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.327"}
2026-01-19 10:16:24,429 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "GET /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.327/text HTTP/1.1" 200 33
2026-01-19 10:16:24,429 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:24,429 | DEBUG | selenium.webdriver.remote.remote_connection | POST http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.77/element {"using": "css selector", "value": ".ipc-rating-star--rating", "id": "f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.77"}
2026-01-19 10:16:24,437 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "POST /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.77/element HTTP/1.1" 200 127
2026-01-19 10:16:24,437 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
